Nombre Estacion	Nro Estacion	Año	Mes	Dia	Temperatura media diaria	Cant obs. 1	Temperatura de rocio	Cant obs. 2	Presion reducida al nivel medio del mar (hpa)	Cant obs. 3	Presion al nivel de la estacion (hpa)	Cant obs. 4	Visibilidad en km	Cant obs. 5	Viento medio (m/s)	Cant obs. 6	Máximo viento sostenido (m/s)	Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Total precipitation en mm	Neblina	Lluvia o llovizna	Nieve o agua nieve	Granizo	Tormenta	Cluster_SOM_1
Azul_Aero	876410	2013	3	17	9,9	8	4,7	8	1029,2	8	1011,2	8	15	8	3	8	4,6	19,4	1,2	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	3	18	11,2	8	6,6	8	1027,3	8	1009,3	8	15	8	3,2	8	5,7	20,2	1,7	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	3	19	14,8	8	11,4	8	1023	8	1005,3	8	15	8	4,9	8	8,7	21,2	9,5	0	0	0	0	0	0	c_som_2_3
Azul_Aero	876410	2013	3	20	18	8	15,2	8	1015,1	8	997,7	8	14,2	8	4	8	6,2	24,1	12,1	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	3	21	17,1	8	11,7	8	1011,7	8	994,4	8	10,8	8	3,3	8	7,2	25,1	11	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	3	22	13,2	8	2,7	8	1016,1	8	998,4	8	15	8	2,8	8	5,7	24,5	2,5	0	0	0	0	0	0	c_som_2_3
Azul_Aero	876410	2013	3	23	15,4	8	5,2	8	1017,8	8	1000,2	8	15	8	1,4	8	3,6	25,4	4,1	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	3	24	16,8	8	11,7	8	1014,2	8	996,8	8	14,2	8	3,4	8	5,7	26	9,1	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	3	25	18,4	8	13,1	8	1011	8	993,8	8	14,2	8	4,4	8	7,2	27	12,6	21,1	0	1	0	0	1	c_som_1_5
Azul_Aero	876410	2013	3	26	15,5	8	8,9	8	1019,5	8	1001,9	8	12,6	8	2	8	3,1	24,5	6,5	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	3	27	16,6	8	8	8	1020,8	8	1003,2	8	15	8	1,9	8	3,6	24,5	5,5	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	3	28	17,3	8	8,9	8	1020,2	8	1002,7	8	15	8	3	8	4,6	25,8	7,5	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	3	29	18,3	8	9,4	8	1018,5	8	1001	8	14,3	8	3	8	5,1	26,5	6,1	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	3	30	20,1	8	13,1	8	1015	8	997,8	8	14,2	8	3,1	8	4,1	26,7	9,6	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	3	31	17,1	8	14,8	8	1017	8	999,6	8	12,1	8	2,5	8	5,1	27,6	11,9	0,5	0	1	0	0	0	c_som_3_5
Azul_Aero	876410	2013	4	1	16,5	8	15,9	8	1018,9	8	1001,4	8	8,7	8	6,5	8	9,8	20,9	14,3	3	0	1	0	0	0	c_som_2_1
Azul_Aero	876410	2013	4	2	17,9	8	16,7	8	1016,4	8	999	8	9	8	4,7	8	7,7	20,6	14,5	64	0	1	0	0	1	c_som_1_5
Azul_Aero	876410	2013	4	3	17,9	8	16,8	8	1015,6	8	998,3	8	9	8	3,9	8	6,7	22,4	16	26,9	0	1	0	0	1	c_som_1_5
Azul_Aero	876410	2013	4	4	15,3	8	14,5	8	1010	8	992,6	8	11,7	8	1,5	8	3,1	21,5	10,5	6,1	1	1	0	0	0	c_som_3_1
Azul_Aero	876410	2013	4	5	16,5	8	12,9	8	1004,1	8	986,7	8	9,5	8	2,3	8	3,6	23,9	9,9	19	1	1	0	0	0	c_som_3_1
Azul_Aero	876410	2013	4	6	14,4	8	6,6	8	1008,2	8	990,9	8	17,1	8	4,9	8	6,7	24,6	10,6	3	0	1	0	0	1	c_som_1_5
Azul_Aero	876410	2013	4	7	11,5	8	3,3	8	1016,3	8	998,5	8	15,6	8	3,6	8	6,7	21,4	1,5	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	4	8	14,4	8	7,1	8	1018,1	8	1000,4	8	15,9	8	2,3	8	4,1	23,3	4,8	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	4	9	14,2	8	7,5	8	1019	8	1001,4	8	14,8	8	2,6	8	4,1	24	5,5	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	4	10	15,2	8	10,2	8	1017	8	999,5	8	13	8	6	8	8,2	23,6	9,6	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	4	11	16,1	8	13	8	1011	8	993,6	8	14,3	8	2,8	8	7,2	20	12	0,5	0	1	0	0	0	c_som_2_1
Azul_Aero	876410	2013	4	12	13	8	6,5	8	1013,2	8	995,7	8	15	8	4,5	8	7,2	21,5	9	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	4	13	9,5	8	0,1	8	1017,2	8	999,3	8	16,9	8	4,5	8	7,7	17,5	1,9	0	0	0	0	0	0	c_som_1_1
Azul_Aero	876410	2013	4	14	13,9	7	4,9	7	1012	7	994,4	7	20	7	4,4	7	7,2	22	5,4	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	4	15	15,4	8	7,7	8	1015,1	8	997,6	8	15,6	8	2,9	8	5,1	23,3	7,9	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	4	16	10,2	8	7,2	8	1020	8	1002,2	8	12,4	8	2	8	3,1	22,6	2,4	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	4	17	12,1	8	8,8	8	1018,8	8	1001	8	7,6	8	2,6	8	6,2	23,1	1,5	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	4	18	19,1	8	13,9	8	1015,5	8	998,2	8	13,4	8	4	8	5,7	26,6	6,8	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	4	19	19	8	12,8	8	1016,5	8	999,2	8	14,2	8	2,9	8	5,1	27,5	7	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	4	20	16,5	8	9,5	8	1019,5	8	1002	8	13	8	2,1	8	4,6	27,5	6	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	4	21	17,4	8	10,8	8	1020,2	8	1002,7	8	12,2	8	3,2	8	5,1	27	6,8	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	4	22	16,2	8	11,6	8	1020,8	8	1003,3	8	11,3	8	3	8	4,1	26,3	5,7	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	4	23	14,4	8	12,8	8	1021,6	8	1004	8	7,6	8	2,7	8	4,1	25,7	8,6	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	4	24	17	8	14,7	8	1019,9	8	1002,4	8	4,5	8	3,3	8	5,1	23,3	11,4	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	4	25	18,2	8	13,6	8	1016,2	8	998,8	8	6,8	8	2,9	8	6,2	25,9	9,1	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	4	26	16,3	7	13,3	7	1015,7	7	998,3	7	7,9	7	2,6	7	5,7	26,3	9,1	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	4	27	17,1	8	15,4	8	1016,1	8	998,7	8	8,7	8	6,3	8	7,2	26,1	11,9	0	0	1	0	0	0	c_som_2_1
Azul_Aero	876410	2013	4	28	17,4	7	15,1	7	1009,9	7	992,6	7	10,6	7	3,1	7	6,7	20,6	16	22,1	0	1	0	0	0	c_som_2_1
Azul_Aero	876410	2013	4	29	15,8	8	12,7	8	1011,8	8	994,4	8	10,9	8	2,6	8	3,6	21,5	11,9	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	4	30	13,6	8	10,3	8	1016,1	8	998,5	8	6,8	8	1,3	8	3,1	22,9	5	0	1	0	0	0	0	c_som_3_1
