Nombre Estacion	Provincia	Fecha	Estacion	Temperatura media diaria	Temperatura de rocio	 Presion reducida al nivel medio del mar (hpa)	Presion al nivel de la estacion (hpa)	Visibilidad en km	 Viento medio (m/s)	Máximo viento sostenido (m/s)	 Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Neblina	Lluvia	Nieve o agua nieve	Granizo	Cluster_SOM_1
Corrientes_Aero	Corrientes	10103	Verano	22,3	16,2	1014,9	1007,6	10,5	2,9	5,1	30	14,8	0	0	0	0	c_som_3_2
Neuquen_Aero	Neuquen_E	10103	Verano	26,1	6,2	1007,7	977	12,2	2,6	5,1	35	14	0	0	0	0	c_som_3_1
Tartagal_Aero	Salta	10103	Verano	24,1	18,4	1010,8	960,6	10	1,8	5,1	29,2	20	0	0	0	0	c_som_3_1
Paso_De_Los_Libres_Aero	Corrientes	10103	Verano	22,1	15,6	1016,8	1008,6	10,8	5,6	7,7	28	15,9	0	0	0	0	c_som_3_2
Viedma_Aero	Rio_Negro_E	10103	Verano	25,3	8,8	1008,2	1007,4	28	8,4	10,3	33,2	16,3	0	0	0	0	c_som_1_1
La_Plata	Buenos_Aires_NE	10103	Verano	20,4	13,1	1018,9	1016,2	9,7	4,5	6,2	24,2	13,4	0	0	0	0	c_som_3_2
Catamarca_Aero_II	Catamarca	10103	Verano	27,1	11,6	1007,1	956,5	20	10,6	14,9	34,1	21,5	0	0	0	0	c_som_3_1
Dolores_Aero	Buenos_Aires_E	10103	Verano	18,6	12,7	1019,3	1018,2	10	2,6	6,2	25,6	12,4	0	0	0	0	c_som_3_2
Trelew_Aero	Chubut	10103	Verano	24,3	1,4	1005,6	1000,6	28,2	7,5	11,8	34	18,6	0	0	0	0	c_som_1_1
Sauce_Viejo_Aero	Santa_Fe	10103	Verano	22	12,4	1016,2	1014,1	12,1	3	4,1	28,2	15,3	0	0	0	0	c_som_3_2
Mar_Del_Plata_Aero	Buenos_Aires_E	10103	Verano	17,3	11,5	1018,4	1015,9	10	5,1	9,3	25,3	8,5	0	0	0	0	c_som_2_2
